#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Current field: 0.15 T
#	Field Step: 0.05 T
#	Max Field: 0.3 T
#	Maximum temperature: 10.5 K
#	Min Field: -0.3 T
#	Minimum temperature: 8.2 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Sample name: 3169
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.2706,8.55290057e-06,0.0855290057
8.2694,-1.65575126e-06,-0.016557512599999998
8.2686,-1.58384189e-06,-0.015838418899999998
8.2679,-1.491818e-06,-0.014918179999999998
8.2671,-1.42845726e-06,-0.014284572599999998
8.2663,-1.44806891e-06,-0.0144806891
8.2655,-1.44304028e-06,-0.014430402799999999
8.2649,-1.37012518e-06,-0.0137012518
8.2642,-1.61149825e-06,-0.0161149825
8.2634,-1.66983028e-06,-0.0166983028
8.2627,-1.71659648e-06,-0.0171659648
8.2619,-1.66279021e-06,-0.0166279021
8.2613,-1.6974871e-06,-0.016974871
8.2605,-1.76989925e-06,-0.0176989925
8.2598,-1.70955579e-06,-0.0170955579
8.2591,-1.67938406e-06,-0.0167938406
8.2583,-1.5109247e-06,-0.015109247
8.2577,-1.63261729e-06,-0.0163261729
8.2571,-1.46164423e-06,-0.014616442299999999
8.2564,-1.65524607e-06,-0.0165524607
8.2557,-1.64016022e-06,-0.0164016022
8.255,-1.67686914e-06,-0.0167686914
8.2543,-1.65273177e-06,-0.0165273177
8.2538,-1.64468598e-06,-0.0164468598
8.2531,-1.68491561e-06,-0.0168491561
8.2525,-1.55065141e-06,-0.015506514099999999
8.2518,-1.65172671e-06,-0.016517267099999997
8.2512,-1.56624014e-06,-0.0156624014
8.2507,-1.38822736e-06,-0.0138822736
8.25,-1.52098302e-06,-0.015209830199999998
8.2494,-1.37515293e-06,-0.013751529299999999
8.2487,-1.54411469e-06,-0.015441146900000001
8.2481,-1.56724659e-06,-0.015672465899999998
8.2476,-1.37867317e-06,-0.013786731699999999
8.247,-1.50640023e-06,-0.0150640023
8.2464,-1.54210347e-06,-0.015421034699999999
8.2458,-1.49684616e-06,-0.014968461599999998
8.2453,-1.5325494e-06,-0.015325493999999999
8.2447,-1.43700552e-06,-0.0143700552
8.2442,-1.44102842e-06,-0.0144102842
8.2435,-1.39174797e-06,-0.0139174797
8.243,-1.36660484e-06,-0.013666048399999998
8.2425,-1.44505141e-06,-0.0144505141
8.242,-1.52349798e-06,-0.0152349798
8.2415,-1.46214898e-06,-0.014621489799999998
8.2409,-1.52500682e-06,-0.0152500682
8.2404,-1.41387416e-06,-0.0141387416
8.2399,-1.50790948e-06,-0.0150790948
8.2394,-1.37414838e-06,-0.0137414838
8.2389,-1.39979439e-06,-0.013997943899999999
8.2384,-1.41990891e-06,-0.0141990891
8.2379,-1.41689169e-06,-0.0141689169
8.2374,-1.43046899e-06,-0.0143046899
8.2369,-1.49634403e-06,-0.0149634403
8.2364,-1.49232112e-06,-0.0149232112
8.2359,-1.43750885e-06,-0.0143750885
8.2355,-1.41186285e-06,-0.014118628499999999
8.235,-1.36962238e-06,-0.0136962238
8.2346,-1.46717775e-06,-0.0146717775
8.2342,-1.53808044e-06,-0.015380804399999998
8.2337,-1.5426062e-06,-0.015426061999999999
8.2332,-1.39577038e-06,-0.013957703799999999
8.2328,-1.55366917e-06,-0.015536691699999999
8.2323,-1.51394304e-06,-0.0151394304
8.2319,-1.38319882e-06,-0.013831988199999999
8.2315,-1.55668634e-06,-0.0155668634
8.2311,-1.46717684e-06,-0.014671768399999998
8.2307,-1.50338238e-06,-0.015033823799999999
8.2302,-1.39174698e-06,-0.013917469799999999
8.2298,-1.49785089e-06,-0.0149785089
8.2294,-1.35604334e-06,-0.013560433399999999
8.229,-1.38068357e-06,-0.0138068357
8.2287,-1.41387246e-06,-0.0141387246
8.2283,-1.25748239e-06,-0.0125748239
8.2279,-1.49835402e-06,-0.0149835402
8.2276,-1.43097048e-06,-0.0143097048
8.2272,-1.53003434e-06,-0.0153003434
8.2269,-1.44857066e-06,-0.0144857066
8.2267,-1.51645704e-06,-0.015164570399999999
8.2263,-1.53506294e-06,-0.0153506294
8.226,-1.52953146e-06,-0.015295314599999998
8.2257,-1.57981769e-06,-0.0157981769
8.2254,-1.54411404e-06,-0.0154411404
8.2251,-1.40431837e-06,-0.0140431837
8.2248,-1.50790797e-06,-0.015079079699999998
8.2245,-1.43097007e-06,-0.014309700699999999
8.2242,-1.48578228e-06,-0.014857822799999998
8.224,-1.57981751e-06,-0.0157981751
8.2238,-1.472205e-06,-0.014722049999999999
8.2235,-1.54512002e-06,-0.0154512002
8.2232,-1.49835358e-06,-0.0149835358
8.223,-1.47974768e-06,-0.014797476799999999
8.2228,-1.37515236e-06,-0.0137515236
8.2226,-1.45862747e-06,-0.014586274699999999
8.2224,-1.43901568e-06,-0.0143901568
8.2222,-1.33844327e-06,-0.013384432699999999
8.222,-1.50589633e-06,-0.0150589633
8.2219,-1.55819398e-06,-0.015581939799999998
8.2217,-1.46566842e-06,-0.014656684199999999
8.2216,-1.45410258e-06,-0.0145410258
8.2214,-1.50288024e-06,-0.0150288024
8.2212,-1.50036593e-06,-0.015003659299999998
8.2211,-1.50891518e-06,-0.0150891518
8.221,-1.42242279e-06,-0.014224227899999999
8.2208,-1.39727966e-06,-0.0139727966
8.2207,-1.39828502e-06,-0.0139828502
8.2206,-1.40482224e-06,-0.014048222400000001
8.2206,-1.4737144e-06,-0.014737143999999999
8.2205,-1.4696915e-06,-0.014696915
8.2204,-1.58182959e-06,-0.015818295899999998
8.2203,-1.52198896e-06,-0.0152198896
8.2202,-1.43801094e-06,-0.014380109399999999
8.2202,-1.53958915e-06,-0.0153958915
8.2202,-1.48025124e-06,-0.014802512399999999
8.2202,-1.39677608e-06,-0.0139677608
8.2201,-1.40884478e-06,-0.014088447799999999
8.2201,-1.39979326e-06,-0.0139979326
8.2201,-1.58786355e-06,-0.0158786355
8.2202,-1.45762222e-06,-0.014576222199999999
8.2202,-1.62708681e-06,-0.0162708681
8.2201,-1.49231971e-06,-0.014923197099999999
8.2202,-1.55417175e-06,-0.0155417175
8.2202,-1.48628534e-06,-0.014862853399999999
8.2203,-1.42443328e-06,-0.0142443328
8.2203,-1.40230734e-06,-0.0140230734
8.2203,-1.55266325e-06,-0.0155266325
8.2204,-1.46164517e-06,-0.0146164517
8.2205,-1.59188651e-06,-0.0159188651
8.2206,-1.60093804e-06,-0.0160093804
8.2208,-1.53204627e-06,-0.015320462699999999
8.2209,-1.54310925e-06,-0.015431092499999998
8.221,-1.52198903e-06,-0.015219890299999999
8.2212,-1.54662929e-06,-0.0154662929
8.2214,-1.55517832e-06,-0.0155517832
8.2215,-1.59490446e-06,-0.0159490446
8.2217,-1.54662965e-06,-0.015466296499999999
8.2219,-1.50087006e-06,-0.0150087006
8.2221,-1.59741975e-06,-0.0159741975
8.2223,-1.49131566e-06,-0.0149131566
8.2225,-1.54864204e-06,-0.0154864204
8.2227,-1.68542142e-06,-0.0168542142
8.223,-1.51746512e-06,-0.015174651199999998
8.2232,-1.52199088e-06,-0.0152199088
8.2235,-1.61854062e-06,-0.0161854062
8.2237,-1.50690405e-06,-0.015069040499999999
8.224,-1.49282389e-06,-0.0149282389
8.2244,-1.59037928e-06,-0.0159037928
8.2247,-1.52400139e-06,-0.015240013899999998
8.2251,-1.43248009e-06,-0.0143248009
8.2254,-1.48880071e-06,-0.0148880071
8.2257,-1.39526825e-06,-0.013952682499999999
8.226,-1.42091424e-06,-0.0142091424
8.2265,-1.51545202e-06,-0.015154520199999999
8.2268,-1.51645774e-06,-0.015164577399999999
8.2272,-1.62909895e-06,-0.0162909895
8.2275,-1.54059468e-06,-0.0154059468
8.228,-1.52098304e-06,-0.015209830399999999
8.2285,-1.56825211e-06,-0.0156825211
8.2289,-1.57076642e-06,-0.0157076642
8.2294,-1.48729174e-06,-0.0148729174
8.2298,-1.56070967e-06,-0.0156070967
8.2303,-1.3816906e-06,-0.013816906
8.2308,-1.4918175e-06,-0.014918174999999999
8.2313,-1.47522335e-06,-0.0147522335
8.2318,-1.55115562e-06,-0.0155115562
8.2323,-1.61753349e-06,-0.016175334899999998
8.2329,-1.4611432e-06,-0.014611432
8.2335,-1.49734922e-06,-0.0149734922
8.2341,-1.53456105e-06,-0.0153456105
8.2347,-1.45661734e-06,-0.014566173399999998
8.2353,-1.59490457e-06,-0.0159490457
8.2359,-1.5541726e-06,-0.015541725999999999
8.2366,-1.50086916e-06,-0.0150086916
8.2372,-1.57881287e-06,-0.015788128699999997
8.2379,-1.60647031e-06,-0.0160647031
8.2385,-1.65072199e-06,-0.0165072199
8.2392,-1.47773728e-06,-0.014777372799999999
8.24,-1.5566867e-06,-0.015566867
8.2408,-1.4425369e-06,-0.014425368999999999
8.2415,-1.63010487e-06,-0.016301048699999997
