#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Current field: 0 T
#	Field Step: 0.05 T
#	Max Field: 0.3 T
#	Maximum temperature: 10.5 K
#	Min Field: -0.3 T
#	Minimum temperature: 8.2 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Sample name: 3169
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.1421,-1.38671735e-06,-0.0138671735
8.1421,-1.38520852e-06,-0.013852085200000001
8.142,-1.33944811e-06,-0.0133944811
8.142,-1.42493458e-06,-0.014249345799999999
8.1419,-1.36609977e-06,-0.013660997699999998
8.1419,-1.39777955e-06,-0.0139777955
8.1419,-1.42945982e-06,-0.0142945982
8.1419,-1.3711279e-06,-0.013711279
8.1419,-1.41990546e-06,-0.0141990546
8.1419,-1.38017954e-06,-0.0138017954
8.1419,-1.37515093e-06,-0.0137515093
8.1418,-1.38571102e-06,-0.0138571102
8.1418,-1.36961945e-06,-0.0136961945
8.1418,-1.36660241e-06,-0.0136660241
8.1418,-1.41437426e-06,-0.014143742599999998
8.1419,-1.3811854e-06,-0.013811853999999998
8.1418,-1.400797e-06,-0.014007969999999998
8.1418,-1.3811858e-06,-0.013811857999999998
8.1418,-1.35604272e-06,-0.013560427199999999
8.1419,-1.3786715e-06,-0.013786715
8.1419,-1.39778024e-06,-0.0139778024
8.1419,-1.3917456e-06,-0.013917456
8.1419,-1.40331141e-06,-0.0140331141
8.1419,-1.41890012e-06,-0.0141890012
8.1419,-1.35352812e-06,-0.013535281199999999
8.1419,-1.41739158e-06,-0.014173915799999999
8.142,-1.42242019e-06,-0.014224201899999999
8.1419,-1.32989366e-06,-0.0132989366
8.1419,-1.43851176e-06,-0.014385117599999999
8.142,-1.39627145e-06,-0.0139627145
8.142,-1.3550368e-06,-0.013550368
8.142,-1.40130007e-06,-0.0140130007
8.142,-1.37816843e-06,-0.0137816843
8.142,-1.3389452e-06,-0.013389452
8.1421,-1.36358542e-06,-0.013635854199999999
8.1421,-1.34196237e-06,-0.013419623699999998
8.1421,-1.37766554e-06,-0.0137766554
8.1421,-1.36006551e-06,-0.0136006551
8.1422,-1.37917425e-06,-0.013791742499999999
8.1423,-1.38470573e-06,-0.0138470573
8.1424,-1.36710557e-06,-0.0136710557
8.1425,-1.38168833e-06,-0.0138168833
8.1425,-1.38721981e-06,-0.013872198099999998
8.1426,-1.37665972e-06,-0.0137665972
8.1427,-1.34045369e-06,-0.0134045369
8.1428,-1.31883019e-06,-0.0131883019
8.1428,-1.37816782e-06,-0.0137816782
8.1428,-1.33391603e-06,-0.0133391603
8.1429,-1.35051012e-06,-0.013505101200000001
8.143,-1.35101298e-06,-0.0135101298
8.1431,-1.39073901e-06,-0.013907390099999998
8.1432,-1.29972114e-06,-0.0129972114
8.1432,-1.3419614e-06,-0.013419614
8.1434,-1.4028076e-06,-0.014028075999999999
8.1435,-1.38420174e-06,-0.013842017399999998
8.1436,-1.38420174e-06,-0.013842017399999998
8.1437,-1.396773e-06,-0.01396773
8.1438,-1.29469221e-06,-0.0129469221
8.144,-1.32737818e-06,-0.0132737818
8.1441,-1.45409916e-06,-0.014540991599999999
8.1443,-1.37565289e-06,-0.013756528899999999
8.1444,-1.31279526e-06,-0.013127952599999998
8.1445,-1.38822442e-06,-0.0138822442
8.1446,-1.3394469e-06,-0.013394468999999999
8.1448,-1.38671591e-06,-0.013867159099999998
8.1449,-1.41035038e-06,-0.0141035038
8.1451,-1.39979029e-06,-0.0139979029
8.1452,-1.31430391e-06,-0.0131430391
8.1454,-1.43046499e-06,-0.014304649899999999
8.1456,-1.38470462e-06,-0.013847046200000001
8.1459,-1.34849862e-06,-0.013484986199999998
8.146,-1.3836989e-06,-0.013836989
8.1462,-1.36660179e-06,-0.013666017899999999
8.1464,-1.32687575e-06,-0.0132687575
8.1466,-1.37012181e-06,-0.013701218099999999
8.1468,-1.33190436e-06,-0.0133190436
8.1469,-1.30525341e-06,-0.013052534099999999
8.1471,-1.31078489e-06,-0.0131078489
8.1473,-1.32989363e-06,-0.0132989363
8.1476,-1.2765903e-06,-0.012765902999999999
8.1479,-1.34699123e-06,-0.0134699123
8.1481,-1.3263739e-06,-0.013263739
8.1483,-1.2620076e-06,-0.012620076
8.1486,-1.35704847e-06,-0.0135704847
8.1489,-1.29720838e-06,-0.012972083799999999
8.1492,-1.32536865e-06,-0.0132536865
8.1495,-1.32084289e-06,-0.0132084289
8.1496,-1.29569979e-06,-0.0129569979
8.1499,-1.26452244e-06,-0.0126452244
8.1502,-1.34146032e-06,-0.0134146032
8.1506,-1.3801807e-06,-0.013801807
8.1509,-1.24289938e-06,-0.0124289938
8.1512,-1.33794028e-06,-0.013379402799999999
8.1515,-1.34900325e-06,-0.0134900325
8.1519,-1.29117412e-06,-0.012911741199999998
8.1522,-1.33492311e-06,-0.013349231100000001
8.1525,-1.39074062e-06,-0.0139074062
8.1528,-1.31380275e-06,-0.0131380275
8.1531,-1.32285426e-06,-0.013228542599999999
8.1535,-1.32385998e-06,-0.0132385998
8.1539,-1.37615761e-06,-0.013761576099999999
8.1543,-1.34548303e-06,-0.013454830299999998
8.1546,-1.32687714e-06,-0.0132687714
8.155,-1.31983708e-06,-0.0131983708
8.1554,-1.33944837e-06,-0.0133944837
8.1558,-1.38219162e-06,-0.0138219162
8.1562,-1.38018018e-06,-0.0138018018
8.1566,-1.37012294e-06,-0.013701229399999999
8.157,-1.37766529e-06,-0.0137766529
8.1574,-1.34196213e-06,-0.0134196213
8.1579,-1.31329902e-06,-0.0131329902
8.1584,-1.37112809e-06,-0.0137112809
8.1588,-1.36358501e-06,-0.0136358501
8.1593,-1.29419014e-06,-0.0129419014
8.1598,-1.34950489e-06,-0.013495048899999999
8.1603,-1.3258704e-06,-0.013258704
