#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 10 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 2 A
#	Temperature ramp rate: 0.5 K/min
#	Resistance Range: 200000 Ohm
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Resistance (ohm)
7.9098,124067.2
7.91,124007.6
7.9097,124062.4
7.9088,123988.5
7.9074,124098.1
7.9062,124090.8
7.9053,124061.5
7.9048,124089.8
7.9046,124088.7
7.9046,124159.0
7.905,124092.2
7.9059,124100.8
7.9068,124109.9
7.9079,124127.9
7.909,124121.8
7.9103,124111.5
7.9125,124075.1
7.9141,124168.8
7.9156,124145.9
7.9172,124039.2
7.9189,124046.1
7.9207,124106.7
7.9234,124108.9
7.9251,124107.4
7.9269,124091.0
7.9288,124041.9
7.9308,124173.1
7.9326,124086.8
7.9344,124094.9
7.9373,124199.2
7.9393,124093.6
7.9413,124065.7
7.9431,124027.0
7.9449,124067.9
7.9469,124109.6
7.949,124086.4
7.951,124160.5
7.9529,124124.7
7.9559,124097.4
7.9581,124075.9
7.9602,124099.6
7.9623,124034.3
7.9642,124182.1
7.9662,124113.7
7.9684,124104.9
7.9705,124128.5
7.9725,124064.5
7.9744,124101.3
7.9775,123985.4
7.9797,124097.3
7.9818,124115.4
7.9837,124108.9
7.9856,124105.4
7.9877,124082.9
7.9899,124141.6
7.992,124223.4
7.9939,124160.5
7.9957,124211.0
7.9977,124095.4
7.9998,124189.6
8.0019,124078.7
8.0037,124060.2
8.0055,124120.2
8.0086,124097.0
8.0106,124089.8
8.0125,124077.6
8.0143,124104.2
8.0163,124122.6
8.0183,124022.2
8.0204,124119.4
8.0224,124089.8
8.0251,124119.7
8.027,124059.9
8.0291,124102.5
8.0311,124069.9
8.0328,124075.6
8.0346,124058.3
8.0365,124021.2
8.0385,124102.4
8.0405,124116.0
8.0431,124116.6
8.045,124165.2
8.047,124052.0
8.0489,124096.7
8.0507,124118.5
8.0523,124060.3
8.0542,124080.5
8.0571,124089.1
8.059,124060.7
8.0608,124089.8
8.0625,124083.5
8.0644,124055.7
8.0664,124092.7
8.0683,124045.1
8.07,124093.6
8.0717,124110.4
8.0746,124061.4
8.0765,124121.6
8.0783,124100.1
8.0799,124183.4
8.0817,124191.3
8.0836,124149.2
8.0855,124139.2
8.0872,124158.6
8.0888,124157.4
8.0915,124068.6
8.0934,124132.5
8.0953,124283.7
8.0969,124210.3
8.0985,124043.1
8.1003,124046.6
8.1021,124051.7
