#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 10 K
#	Minimum temperature: 8.1 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 1
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Time per measurement: 0.1 s
#	Voltage Range: 0.2 V
#Data:
Temperature (K),Voltage (V)
8.0925,0.0544762
8.0925,0.0544756
8.0923,0.0544754
8.0922,0.0544751
8.0921,0.0544759
8.092,0.0544763
8.0919,0.0544744
8.0917,0.054476
8.0917,0.0544757
8.0916,0.0544763
8.0916,0.0544767
8.0916,0.0544775
8.0915,0.0544779
8.0914,0.0544777
8.0914,0.0544768
8.0913,0.0544764
8.0912,0.0544766
8.0911,0.0544753
8.091,0.0544766
8.091,0.0544773
8.0909,0.0544755
8.0908,0.0544754
8.0907,0.0544757
8.0906,0.0544752
8.0905,0.0544754
8.0904,0.0544762
8.0904,0.0544749
8.0903,0.0544756
8.0903,0.0544748
8.0902,0.0544762
8.0901,0.0544768
8.09,0.054477
8.0899,0.0544769
8.0899,0.0544773
8.0898,0.0544769
8.0897,0.0544759
8.0895,0.0544756
8.0895,0.0544756
8.0895,0.0544747
8.0895,0.0544755
8.0894,0.0544764
8.0893,0.0544766
8.0892,0.0544769
8.0892,0.0544775
8.0892,0.0544769
8.089,0.0544771
8.089,0.0544774
8.0889,0.0544774
8.0889,0.0544764
8.0888,0.0544759
8.0887,0.0544763
8.0886,0.0544768
8.0886,0.0544762
8.0886,0.0544765
8.0885,0.054477
8.0883,0.0544763
8.0883,0.054476
8.0883,0.0544766
8.0882,0.0544761
8.0881,0.0544763
8.088,0.0544757
8.088,0.0544763
8.088,0.0544761
8.088,0.0544755
8.0879,0.0544745
8.0878,0.054475
8.0878,0.0544761
8.0878,0.0544761
8.0877,0.0544752
8.0876,0.0544755
8.0875,0.0544744
8.0875,0.0544728
8.0875,0.0544733
8.0874,0.0544738
8.0873,0.0544759
8.0873,0.0544742
8.0873,0.0544751
8.0873,0.0544751
8.0873,0.0544758
8.0872,0.0544748
8.0872,0.0544751
8.0872,0.0544755
8.0872,0.0544764
8.0871,0.0544759
8.0871,0.054476
8.087,0.054475
8.087,0.0544756
8.087,0.0544758
8.087,0.0544751
8.0869,0.0544754
8.087,0.0544764
8.087,0.0544774
8.087,0.0544781
8.0869,0.054477
8.0869,0.0544769
8.0869,0.054477
8.0869,0.0544767
8.0869,0.054477
8.0868,0.0544777
8.0869,0.0544774
8.0869,0.0544762
8.0869,0.0544785
8.0869,0.054477
8.0868,0.0544765
8.0869,0.054476
8.0869,0.0544772
