#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 16 K
#	Minimum temperature: 9 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Set current: 1e-05 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.8295,-2.72866005e-06,-0.27286600499999997
8.8284,-2.77733718e-06,-0.27773371799999996
8.8272,-2.75923412e-06,-0.275923412
8.8262,-2.79674769e-06,-0.27967476899999993
8.8251,-2.83566928e-06,-0.283566928
8.8244,-2.79825628e-06,-0.279825628
8.8234,-2.76637641e-06,-0.276637641
8.8225,-2.76436496e-06,-0.276436496
8.8217,-2.74213841e-06,-0.274213841
8.821,-2.63140792e-06,-0.26314079199999996
8.8202,-2.80630376e-06,-0.28063037599999996
8.8195,-2.79433561e-06,-0.27943356099999994
8.8189,-2.81736675e-06,-0.281736675
8.8185,-2.85588739e-06,-0.285588739
8.818,-2.83959461e-06,-0.28395946099999997
8.8175,-2.78488306e-06,-0.278488306
8.817,-2.77633438e-06,-0.277633438
8.8167,-2.77985443e-06,-0.27798544299999994
8.8164,-2.6882327e-06,-0.26882327
8.8163,-2.77442462e-06,-0.277442462
8.8161,-2.66530319e-06,-0.26653031899999996
8.816,-2.6962796e-06,-0.26962796
8.8159,-2.78659392e-06,-0.278659392
8.8158,-2.7338938e-06,-0.27338938
8.8158,-2.72856345e-06,-0.272856345
8.8159,-2.70482828e-06,-0.27048282799999995
8.816,-2.67596388e-06,-0.267596388
8.8161,-2.63060558e-06,-0.263060558
8.8164,-2.67415357e-06,-0.26741535699999996
8.8167,-2.71478496e-06,-0.27147849599999996
8.8169,-2.6563522e-06,-0.26563521999999995
8.8174,-2.5851467e-06,-0.25851467
8.8178,-2.59771829e-06,-0.259771829
8.8183,-2.58182855e-06,-0.258182855
8.8189,-2.5798171e-06,-0.25798171
8.8194,-2.53516279e-06,-0.25351627899999996
8.82,-2.44173068e-06,-0.244173068
8.8208,-2.69225746e-06,-0.269225746
8.8215,-2.59399786e-06,-0.25939978599999997
8.8224,-2.61763196e-06,-0.261763196
8.8235,-2.64599348e-06,-0.26459934799999996
8.8243,-2.53063653e-06,-0.253063653
8.8255,-2.52138383e-06,-0.25213838299999997
8.8266,-2.69145236e-06,-0.26914523599999995
8.8275,-2.63613735e-06,-0.26361373499999996
8.8278,-2.58042004e-06,-0.258042004
8.8267,-2.62829214e-06,-0.262829214
8.8256,-2.72534483e-06,-0.272534483
8.8256,-2.6188383e-06,-0.26188383
8.8267,-2.62054804e-06,-0.262054804
8.8281,-2.70281654e-06,-0.270281654
8.8298,-2.53817897e-06,-0.25381789699999996
8.8315,-2.59379569e-06,-0.259379569
8.8335,-2.5812248e-06,-0.25812248
8.8357,-2.49764883e-06,-0.24976488299999997
8.8375,-2.60415539e-06,-0.260415539
8.8397,-2.69245827e-06,-0.269245827
8.842,-2.70201268e-06,-0.270201268
8.844,-2.80982669e-06,-0.28098266899999996
8.8464,-2.61390947e-06,-0.261390947
8.8489,-2.6277885e-06,-0.26277884999999995
8.851,-2.65806089e-06,-0.26580608899999997
8.8535,-2.69366362e-06,-0.26936636199999997
8.8561,-2.74143566e-06,-0.27414356599999995
8.8588,-2.71488446e-06,-0.271488446
8.8611,-2.68893671e-06,-0.268893671
8.8639,-2.74696722e-06,-0.27469672199999995
8.8668,-2.752901e-06,-0.2752901
8.8692,-2.74153629e-06,-0.274153629
8.8723,-2.75581761e-06,-0.275581761
8.8753,-2.78096079e-06,-0.278096079
8.8784,-2.73530078e-06,-0.273530078
8.881,-2.79584555e-06,-0.27958455499999996
8.8843,-2.81354584e-06,-0.28135458399999996
8.8875,-2.63130813e-06,-0.263130813
8.8903,-2.64719862e-06,-0.264719862
8.8937,-2.75179421e-06,-0.275179421
