#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Field Step: 0.01 T
#	Magnet Ramp Rate: 0.1 A/s
#	Max Field: 0.5 T
#	Min Field: -0.5 T
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Set Current: 0.003 A
#	Set temperature: 10 K
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Magnetic Field (T)
nan,0.0602668855,8e-05
nan,0.0602680447,0.01005
nan,0.0602695081,0.02006
nan,0.0602562199,0.03008
nan,0.0602623367,0.04007
nan,0.0602553688,0.05011
nan,0.0602604454,0.06009
nan,0.0602580239,0.07007
nan,0.0602578475,0.08006
nan,0.0602572749,0.09007
nan,0.0602441336,0.10009
nan,0.0602452557,0.1101
nan,0.0602433102,0.1201
nan,0.060239516,0.1301
nan,0.0602509707,0.14007
nan,0.0602510901,0.1501
nan,0.0602515481,0.16008
nan,0.0602561499,0.17011
nan,0.0602571137,0.18011
nan,0.0602553274,0.19015
nan,0.0602579444,0.20012
nan,0.0602808756,0.21011
nan,0.0602958729,0.2201
nan,0.0603038021,0.23011
nan,0.0603129805,0.24008
nan,0.0603234126,0.25009
nan,0.0603323447,0.26012
nan,0.0603458821,0.27011
nan,0.0603616698,0.28008
nan,0.0603966099,0.29011
nan,0.0604185767,0.30012
nan,0.0604400517,0.31012
nan,0.0604445332,0.32009
nan,0.0604617177,0.33015
nan,0.060501226,0.34014
nan,0.060521312,0.35015
nan,0.060553899,0.36011
nan,0.0606275143,0.37015
nan,0.0607201682,0.38013
nan,0.0607730585,0.39012
nan,0.0609046357,0.40012
nan,0.0634862922,0.41012
nan,0.0680578218,0.42013
nan,0.0681379821,0.43013
nan,0.0680117656,0.44014
nan,0.0681760462,0.45016
nan,0.068395742,0.46014
nan,0.0684779261,0.47015
nan,0.0685234865,0.48014
nan,0.068500991,0.49015
nan,0.0686713953,0.50011
nan,0.0688302376,0.49015
nan,0.0688267667,0.48014
nan,0.0687823103,0.47016
nan,0.0687931679,0.46014
nan,0.0687745391,0.45015
nan,0.0687563219,0.44014
nan,0.0687428468,0.43013
nan,0.068724063,0.42013
nan,0.0686935463,0.41013
nan,0.0686806823,0.40012
nan,0.0686498456,0.39012
nan,0.0686308581,0.38013
nan,0.0685965796,0.37015
nan,0.068578408,0.3601
nan,0.0685420284,0.35015
nan,0.0685173861,0.34014
nan,0.0684826301,0.33016
nan,0.0684383397,0.32009
nan,0.0684108438,0.31013
nan,0.0683763712,0.30013
nan,0.0683172304,0.29011
nan,0.068288369,0.28009
nan,0.0682366487,0.27012
nan,0.0682179715,0.26013
nan,0.0681699369,0.2501
nan,0.0681243624,0.24008
nan,0.0680985195,0.23012
nan,0.0680515612,0.2201
nan,0.0680158861,0.21012
nan,0.067991846,0.20013
nan,0.0679581667,0.19016
nan,0.0679106732,0.18012
nan,0.067887342,0.17012
nan,0.0678672227,0.16009
nan,0.0678731817,0.1501
nan,0.0678321353,0.14008
nan,0.0678350488,0.13011
nan,0.0678052063,0.12011
nan,0.0677838474,0.11011
nan,0.067786558,0.1001
nan,0.0677724835,0.09008
nan,0.0677658826,0.08007
nan,0.0677538997,0.07008
nan,0.0677604102,0.06011
nan,0.067729908,0.05012
nan,0.0677185766,0.04009
nan,0.0677369707,0.03009
nan,0.0677268437,0.02007
nan,0.06773017,0.01006
nan,0.0677352573,-0.04145
nan,0.0677377686,-0.00984
nan,0.0677378366,-0.01983
nan,0.067733244,-0.02982
nan,0.0677360577,-0.03984
nan,0.0677241259,-0.04983
nan,0.0677167702,-0.05982
nan,0.0677052473,-0.06986
nan,0.0677184142,-0.07983
nan,0.0677189574,-0.0898
nan,0.0677116173,-0.0998
nan,0.0677275892,-0.10982
nan,0.0677193633,-0.11982
nan,0.0677374176,-0.12981
nan,0.0677278014,-0.13985
nan,0.0677260042,-0.14984
nan,0.0677250381,-0.15985
nan,0.0677193216,-0.16981
nan,0.0677288243,-0.17983
nan,0.0677246412,-0.18982
nan,0.0677390516,-0.19983
nan,0.0677356775,-0.20984
nan,0.0677763407,-0.21982
nan,0.0678010402,-0.22984
nan,0.0678064703,-0.23983
nan,0.067807684,-0.24984
nan,0.0678264886,-0.25982
nan,0.0678240807,-0.26983
nan,0.067823569,-0.27987
nan,0.0678484523,-0.28985
nan,0.0678606007,-0.29985
nan,0.0678628589,-0.30983
nan,0.0678616225,-0.31989
nan,0.0678640985,-0.32983
nan,0.06788309,-0.33984
nan,0.0679048135,-0.34984
nan,0.0679286824,-0.35984
nan,0.0679445081,-0.36982
nan,0.0679206313,-0.3798
nan,0.0679214683,-0.38986
nan,0.0680185748,-0.39986
nan,0.0680235285,-0.40984
nan,0.0680616548,-0.41985
nan,0.0681469221,-0.42987
nan,0.0682072744,-0.43986
nan,0.0683752577,-0.44983
nan,0.0683764816,-0.45986
nan,0.0683838322,-0.46985
nan,0.0684460749,-0.47988
nan,0.0684732584,-0.48986
nan,0.0685652385,-0.49986
nan,0.0686562295,-0.48986
nan,0.0686541168,-0.47988
nan,0.0686589185,-0.46985
nan,0.0686381754,-0.45987
nan,0.0686506529,-0.44982
nan,0.0686478808,-0.43986
nan,0.0686342925,-0.42987
nan,0.0686049466,-0.41985
nan,0.0686112158,-0.40984
nan,0.0685926456,-0.39985
nan,0.0685778258,-0.38985
nan,0.0685630539,-0.3798
nan,0.0685228257,-0.36982
nan,0.0685368285,-0.35983
nan,0.0685173873,-0.34985
nan,0.0684934275,-0.33984
nan,0.0684234856,-0.32983
nan,0.0683968408,-0.31989
nan,0.0683748042,-0.30983
nan,0.06835122,-0.29985
nan,0.0683206602,-0.28985
nan,0.0682728526,-0.27986
nan,0.0682419897,-0.26982
nan,0.0681673481,-0.25982
nan,0.0681431529,-0.24983
nan,0.0681053276,-0.23982
nan,0.0680547768,-0.22983
nan,0.0680252603,-0.21981
nan,0.0679943535,-0.20984
nan,0.0679394856,-0.19982
nan,0.0678842588,-0.18982
nan,0.0678253814,-0.17983
nan,0.0678007616,-0.16981
nan,0.0677962905,-0.15984
nan,0.0677774754,-0.14983
nan,0.0677584774,-0.13985
nan,0.0677292238,-0.1298
nan,0.0677297006,-0.11982
nan,0.0677282461,-0.10981
nan,0.0676988285,-0.0998
nan,0.0676972786,-0.0898
nan,0.067667145,-0.07982
nan,0.0676966179,-0.06986
nan,0.0677000265,-0.05982
nan,0.0676772929,-0.04982
nan,0.0676729586,-0.03984
nan,0.0676764426,-0.02982
nan,0.0676536106,-0.01982
nan,0.0676631526,-0.00984
