#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 15 K
#	Minimum temperature: 10 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Set current: 0.001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
9.9712,1.8470405e-06,0.0018470405
9.9728,1.914e-06,0.0019139999999999997
9.9739,1.93612626e-06,0.0019361262599999999
9.975,1.92435911e-06,0.0019243591099999998
9.9764,1.92999125e-06,0.00192999125
9.9779,1.91530791e-06,0.0019153079099999998
9.9793,1.92224751e-06,0.00192224751
9.9811,1.91631365e-06,0.00191631365
9.983,1.91017864e-06,0.0019101786399999998
9.985,1.90665856e-06,0.0019066585599999998
9.9867,1.90555224e-06,0.00190555224
9.989,1.91088266e-06,0.00191088266
9.9915,1.90575224e-06,0.00190575224
9.9936,1.91470332e-06,0.0019147033199999998
9.9963,1.92264866e-06,0.0019226486599999999
9.9991,1.91239012e-06,0.0019123901199999999
10.0021,1.90203101e-06,0.00190203101
10.0047,1.91218897e-06,0.00191218897
10.0078,1.91932948e-06,0.0019193294800000003
10.0111,1.92174325e-06,0.0019217432500000001
10.014,1.93361097e-06,0.0019336109700000001
10.0175,1.92093866e-06,0.00192093866
10.0212,1.91872604e-06,0.00191872604
10.0251,1.94517697e-06,0.00194517697
10.0284,1.93009089e-06,0.00193009089
10.0325,1.92274912e-06,0.00192274912
10.0367,1.91440148e-06,0.00191440148
10.0403,1.92506231e-06,0.0019250623099999998
10.0446,1.90977509e-06,0.00190977509
10.0492,1.91892731e-06,0.00191892731
10.0537,1.93310822e-06,0.00193310822
10.0576,1.9243583e-06,0.0019243583
10.0625,1.92787832e-06,0.0019278783199999999
10.0675,1.91259109e-06,0.0019125910900000002
10.0725,1.91591003e-06,0.00191591003
10.0768,1.91822323e-06,0.0019182232299999999
10.0821,1.89478952e-06,0.00189478952
10.0874,1.91711692e-06,0.0019171169199999998
10.0919,1.91409984e-06,0.0019140998399999997
10.0974,1.90595336e-06,0.00190595336
10.103,1.91440156e-06,0.00191440156
10.1088,1.90917172e-06,0.0019091717200000002
10.1137,1.91178664e-06,0.0019117866399999998
10.1196,1.91068033e-06,0.00191068033
10.1256,1.90514876e-06,0.00190514876
