#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Field Step: 0.025 T
#	Magnet Ramp Rate: 0.1 A/s
#	Max Field: 1 T
#	Min Field: -1 T
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Set Current: 0.003 A
#	Set temperature: 10 K
#	Time per measurement: 0.1 s
#Data:
Resistance (ohm),Voltage (V),Magnetic Field (T)
38.904122666666666,0.116712368,9e-05
38.904826,0.116714478,0.02504
38.90219966666666,0.116706599,0.05011
38.905572666666664,0.116716718,0.07505
38.911200666666666,0.116733602,0.1001
38.90740833333333,0.116722225,0.12503
38.909889,0.116729667,0.1501
38.93718533333333,0.116811556,0.17509
39.020339666666665,0.117061019,0.20012
39.118935,0.117356805,0.22508
39.15707466666667,0.117471224,0.2501
39.226599666666665,0.117679799,0.27507
39.231825666666666,0.117695477,0.30012
39.11894433333333,0.117356833,0.32509
39.25042966666666,0.117751289,0.35015
40.43722266666666,0.121311668,0.3751
48.89709966666666,0.146691299,0.40012
52.918388,0.158755164,0.42508
52.798810333333336,0.158396431,0.45015
52.01361633333334,0.156040849,0.47515
52.37244033333334,0.157117321,0.50012
53.108977,0.159326931,0.52507
53.96260666666666,0.16188782,0.55014
54.13707466666666,0.162411224,0.5751
56.72756366666666,0.170182691,0.60014
61.70814166666667,0.185124425,0.62512
84.22326,0.25266978,0.65015
90.28256499999999,0.270847695,0.67511
109.68329566666667,0.329049887,0.70015
99.478963,0.298436889,0.72513
159.125764,0.477377292,0.75019
128.76961233333333,0.386308837,0.77516
73.15672133333334,0.219470164,0.80014
84.78214566666666,0.254346437,0.82513
78.20213166666666,0.234606395,0.85016
108.19461,0.32458383,0.87515
102.00681733333333,0.306020452,0.9002
133.97621066666667,0.401928632,0.92512
142.11960633333334,0.426358819,0.95018
140.629051,0.421887153,0.97518
126.69324499999999,0.380079735,1.00017
129.78934766666666,0.389368043,0.97518
130.3571763333333,0.391071529,0.95019
129.823342,0.389470026,0.92511
129.91696000000002,0.38975088,0.90021
128.29114099999998,0.384873423,0.87516
127.94880333333334,0.38384641,0.85017
126.90287966666666,0.380708639,0.82515
125.63297299999999,0.376898919,0.80016
126.798053,0.380394159,0.77518
126.658817,0.379976451,0.75019
126.84064933333333,0.380521948,0.72514
125.07197666666666,0.37521593,0.70017
124.537542,0.373612626,0.67513
121.56299966666667,0.364688999,0.65017
104.65249899999999,0.313957497,0.62513
99.09638566666668,0.297289157,0.60015
89.82966533333332,0.269488996,0.57511
92.57942299999999,0.277738269,0.55015
90.74400066666665,0.272232002,0.52508
88.49649366666668,0.265489481,0.50013
92.18887466666666,0.276566624,0.47517
98.473064,0.295419192,0.45017
106.385739,0.319157217,0.4251
104.943044,0.314829132,0.40014
106.94053999999998,0.32082162,0.37512
79.615013,0.238845039,0.35018
97.27128266666666,0.291813848,0.32511
102.667474,0.308002422,0.30015
114.92197233333333,0.344765917,0.2751
94.84117133333332,0.284523514,0.25012
77.31014533333332,0.231930436,0.22511
75.01828833333333,0.225054865,0.20014
69.80479466666667,0.209414384,0.17512
72.47856433333334,0.217435693,0.15012
73.78751033333333,0.221362531,0.12505
66.46185066666666,0.199385552,0.10012
67.104764,0.201314292,0.07508
64.15784033333334,0.192473521,0.05014
63.170285666666665,0.189510857,0.02506
60.324361333333336,0.180973084,-0.05085
60.338116666666664,0.18101435,-0.02482
60.21828266666667,0.180654848,-0.04981
60.166771,0.180500313,-0.07485
60.024980666666664,0.180074942,-0.09978
59.97411066666666,0.179922332,-0.12483
59.79975666666667,0.17939927,-0.14982
59.629762,0.178889286,-0.17485
59.503693999999996,0.178511082,-0.19982
59.25624766666667,0.177768743,-0.22482
59.078859333333334,0.177236578,-0.24983
58.93124133333334,0.176793724,-0.27489
58.762133000000006,0.176286399,-0.29984
58.615383333333334,0.17584615,-0.32485
58.44592466666666,0.175337774,-0.34983
58.323740666666666,0.174971222,-0.37484
58.259155,0.174777465,-0.39984
58.070298666666666,0.174210896,-0.42489
58.11217433333333,0.174336523,-0.44981
57.913369,0.173740107,-0.47489
57.95530466666667,0.173865914,-0.49985
59.334883,0.178004649,-0.52486
59.53849866666667,0.178615496,-0.54989
59.49226733333333,0.178476802,-0.57491
68.42531366666667,0.205275941,-0.59987
64.853286,0.194559858,-0.62487
71.30145266666666,0.213904358,-0.64983
83.03878733333333,0.249116362,-0.67493
80.27530133333333,0.240825904,-0.69984
77.64612633333333,0.232938379,-0.72488
80.47979833333333,0.241439395,-0.74986
96.53697533333333,0.289610926,-0.7749
98.72304033333333,0.296169121,-0.79988
93.683458,0.281050374,-0.82488
96.65010633333334,0.289950319,-0.84991
104.56542133333333,0.313696264,-0.87491
96.90568166666667,0.290717045,-0.89988
104.70884166666666,0.314126525,-0.92487
187.5954636666667,0.562786391,-0.9498
153.75607233333332,0.461268217,-0.97486
132.71526466666666,0.398145794,-0.99985
208.11351366666668,0.624340541,-0.97486
204.9085663333333,0.614725699,-0.9498
203.93807666666666,0.61181423,-0.92486
201.799081,0.605397243,-0.89988
199.7549763333333,0.599264929,-0.87491
198.93020866666666,0.596790626,-0.84991
197.48280633333334,0.592448419,-0.82488
195.02375866666665,0.585071276,-0.79987
194.357865,0.583073595,-0.77489
191.39962833333334,0.574198885,-0.74986
181.36374333333333,0.54409123,-0.72487
169.97583533333335,0.509927506,-0.69984
109.18603166666666,0.327558095,-0.67493
110.88631266666667,0.332658938,-0.64983
121.02214933333333,0.363066448,-0.62485
83.45426633333334,0.250362799,-0.59986
72.40174733333333,0.217205242,-0.5749
65.11109166666667,0.195333275,-0.54988
69.34391933333333,0.208031758,-0.52485
66.216748,0.198650244,-0.49985
67.04092366666667,0.201122771,-0.47488
61.935024999999996,0.185805075,-0.44979
62.555068,0.187665204,-0.42488
62.646799333333334,0.187940398,-0.39983
64.092015,0.192276045,-0.37483
64.00226433333333,0.192006793,-0.34982
61.40686233333333,0.184220587,-0.32483
62.093123,0.186279369,-0.29983
62.46946166666667,0.187408385,-0.27488
64.36277166666667,0.193088315,-0.24981
67.80999733333333,0.203429992,-0.2248
69.37296633333332,0.208118899,-0.1998
77.59169466666667,0.232775084,-0.17483
89.99573933333332,0.269987218,-0.1498
74.92818933333332,0.224784568,-0.12482
69.22686533333334,0.207680596,-0.09977
63.81391,0.19144173,-0.07484
64.294812,0.192884436,-0.0498
63.79843566666666,0.191395307,-0.02482
