#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 16 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Set current: 0.001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
7.9282,0.020957212,20.957212
7.928,0.0209582668,20.9582668
7.9277,0.0209571468,20.9571468
7.9274,0.0209579999,20.9579999
7.9273,0.0209575465,20.9575465
7.927,0.0209569006,20.9569006
7.9268,0.0209558162,20.9558162
7.9267,0.0209572708,20.9572708
7.9266,0.0209570348,20.9570348
7.9265,0.0209582388,20.9582388
7.9265,0.0209564215,20.956421499999998
7.9265,0.0209558543,20.9558543
7.9264,0.0209566759,20.9566759
7.9266,0.0209562577,20.956257700000002
7.9267,0.0209573237,20.9573237
7.9268,0.0209581398,20.9581398
7.9269,0.0209585367,20.9585367
7.927,0.0209572857,20.9572857
7.9271,0.0209567241,20.9567241
7.9272,0.0209553074,20.955307400000002
7.9275,0.0209561384,20.9561384
7.9278,0.0209567065,20.9567065
7.9283,0.020957486,20.957486
7.9286,0.0209568429,20.9568429
7.9291,0.0209563432,20.956343200000003
7.9297,0.0209575063,20.957506300000002
7.93,0.0209581688,20.9581688
7.9307,0.0209568568,20.9568568
7.9313,0.0209573851,20.9573851
7.932,0.0209563823,20.956382299999998
7.9327,0.0209576675,20.9576675
7.9335,0.0209568237,20.956823699999998
7.9343,0.020956844,20.956843999999997
7.9352,0.0209569282,20.9569282
7.9363,0.0209581394,20.9581394
7.9371,0.0209576379,20.957637899999998
7.9384,0.0209564886,20.9564886
7.9396,0.0209566867,20.956686700000002
7.9408,0.0209581533,20.9581533
7.9422,0.0209580802,20.958080199999998
7.9437,0.0209572946,20.957294599999997
7.9451,0.02095854,20.95854
7.9467,0.0209590286,20.9590286
7.9485,0.0209587511,20.958751099999997
7.9499,0.0209578618,20.9578618
7.9519,0.0209580349,20.958034899999998
7.954,0.0209588195,20.9588195
7.9558,0.0209584013,20.9584013
7.958,0.0209579905,20.957990499999998
7.9602,0.0209569551,20.956955100000002
7.9624,0.020956572,20.956571999999998
7.9649,0.0209566793,20.956679299999998
7.9676,0.0209576157,20.9576157
7.9698,0.0209581145,20.9581145
7.9725,0.0209586003,20.9586003
7.9755,0.0209586741,20.9586741
7.9781,0.0209579256,20.9579256
7.9813,0.0209594394,20.9594394
7.9845,0.0209594717,20.959471699999998
7.9874,0.0209592441,20.9592441
7.9908,0.0209593274,20.959327400000003
7.9944,0.020959729,20.959729
7.9974,0.0209594488,20.959448799999997
8.0012,0.0209600113,20.9600113
8.0052,0.0209598577,20.9598577
8.0084,0.0209604777,20.9604777
8.0127,0.0209595126,20.9595126
8.0169,0.0209598022,20.9598022
8.0205,0.0209591129,20.9591129
8.025,0.0209591369,20.9591369
8.0296,0.0209606553,20.9606553
8.0336,0.0209602232,20.960223199999998
8.0385,0.0209610254,20.9610254
8.0436,0.0209602259,20.9602259
8.0477,0.0209611929,20.9611929
8.053,0.0209614042,20.961404199999997
8.0583,0.0209608259,20.9608259
8.0636,0.0209624507,20.962450699999998
8.0683,0.0209613523,20.961352299999998
8.0739,0.0209599191,20.959919099999997
8.0798,0.0209608721,20.9608721
8.0847,0.0209615235,20.9615235
8.0908,0.0209616544,20.9616544
8.0969,0.0209614175,20.9614175
8.1022,0.0209619107,20.961910699999997
8.1086,0.0209613,20.961299999999998
8.1151,0.0209626907,20.9626907
8.1206,0.0209623576,20.962357599999997
8.1273,0.0209625177,20.9625177
8.1343,0.0209632703,20.963270299999998
8.14,0.0209623977,20.9623977
