#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 16 K
#	Minimum temperature: 8.66 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 0.5 K/min
#	Set current: 1e-05 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.6658,6.67366854e-05,6.6736685399999995
8.6659,6.89204298e-05,6.89204298
8.6659,6.86123743e-05,6.861237429999999
8.6659,6.79361205e-05,6.793612049999999
8.6659,6.36803685e-05,6.36803685
8.6658,6.54160596e-05,6.541605959999999
8.6657,6.43055323e-05,6.43055323
8.6657,6.33973569e-05,6.339735689999999
8.6657,6.42120998e-05,6.4212099799999995
8.6657,6.3747452e-05,6.374745199999999
8.6657,6.34729879e-05,6.347298789999999
8.6657,6.5536648e-05,6.5536648
8.6657,6.55155277e-05,6.55155277
8.6656,6.2805769e-05,6.280576899999999
8.6656,6.27447211e-05,6.27447211
8.6657,5.73480688e-05,5.73480688
8.6656,5.86885071e-05,5.86885071
8.6657,5.68278041e-05,5.6827804099999994
8.6657,5.67477479e-05,5.674774789999999
8.6658,6.74617132e-05,6.74617132
8.6658,6.71577812e-05,6.7157781199999995
8.6658,6.89332992e-05,6.89332992
8.6658,7.62409425e-05,7.62409425
8.6658,7.31931745e-05,7.319317449999999
8.666,6.836838e-05,6.836838
8.666,7.55929499e-05,7.559294989999999
8.666,7.41715144e-05,7.41715144
8.6661,6.5347836e-05,6.5347836
8.6661,6.78248503e-05,6.782485029999999
8.6661,6.09917143e-05,6.099171429999999
8.6662,5.84319283e-05,5.84319283
8.6663,6.33790174e-05,6.3379017399999995
8.6664,6.9460772e-05,6.946077199999999
8.6666,7.25338533e-05,7.2533853299999995
8.6668,6.4882659e-05,6.4882659
8.667,6.25540915e-05,6.255409149999999
8.6671,6.68070235e-05,6.68070235
8.6672,6.22792254e-05,6.22792254
8.6674,6.70520194e-05,6.70520194
8.6675,6.10428945e-05,6.1042894500000004
8.6677,6.6006175e-05,6.600617499999999
8.6679,6.15190074e-05,6.151900739999999
8.6681,6.48928312e-05,6.48928312
8.6684,6.62432257e-05,6.6243225699999995
8.6686,6.55010971e-05,6.55010971
8.669,6.81558236e-05,6.815582359999999
8.6693,7.92357232e-05,7.92357232
8.6695,7.23562272e-05,7.2356227199999985
8.6698,7.33765404e-05,7.337654039999999
8.6703,7.36591506e-05,7.365915059999999
8.6706,6.29939856e-05,6.299398559999999
8.6709,6.65046879e-05,6.650468789999999
8.6713,6.36973933e-05,6.36973933
8.6716,6.28828653e-05,6.28828653
8.6721,5.98503871e-05,5.9850387099999995
8.6726,7.01995538e-05,7.019955379999999
8.6731,6.94817641e-05,6.948176409999999
8.6736,7.21146656e-05,7.211466559999999
8.6741,6.67363213e-05,6.67363213
8.6746,6.85208113e-05,6.852081129999999
8.6753,7.05884931e-05,7.058849309999999
8.6759,6.80882465e-05,6.808824649999999
8.6765,6.34694283e-05,6.346942829999999
8.6771,6.93769899e-05,6.9376989899999995
8.6778,7.01371211e-05,7.01371211
8.6786,6.59614278e-05,6.596142779999999
8.6794,6.66751296e-05,6.667512959999999
8.6801,6.61501379e-05,6.615013789999999
8.6809,6.21927866e-05,6.219278659999999
8.6818,6.19869135e-05,6.198691349999999
8.6825,6.75389522e-05,6.7538952199999995
8.6835,6.80404098e-05,6.804040979999999
8.6846,6.71227806e-05,6.71227806
8.6856,5.88290557e-05,5.882905569999999
8.6865,5.9925404e-05,5.992540399999999
8.6876,6.33144187e-05,6.33144187
8.6888,6.15850628e-05,6.158506279999999
8.6898,6.09011651e-05,6.09011651
8.691,6.54742279e-05,6.547422789999999
8.6923,6.02825549e-05,6.028255489999999
8.6936,7.38632576e-05,7.386325759999999
8.6947,6.75203062e-05,6.752030619999999
8.6962,7.07082759e-05,7.0708275899999995
8.6975,6.75611389e-05,6.756113889999999
8.6987,6.61630707e-05,6.616307069999999
8.7002,7.07805881e-05,7.078058809999999
8.7017,6.53950716e-05,6.539507159999999
8.7031,6.19361588e-05,6.193615879999999
8.7047,6.74513908e-05,6.7451390799999995
8.7064,6.10480976e-05,6.104809759999999
8.7081,6.14139828e-05,6.141398279999999
8.7097,6.40933529e-05,6.40933529
8.7116,6.24861935e-05,6.248619349999999
8.7136,6.88385466e-05,6.883854659999999
8.7155,6.57009673e-05,6.5700967299999995
8.717,6.83403074e-05,6.834030739999999
8.719,6.65483963e-05,6.65483963
8.7211,6.61453999e-05,6.614539989999999
8.7229,6.51421832e-05,6.51421832
8.7251,6.57721503e-05,6.57721503
8.7273,6.92140625e-05,6.9214062499999995
8.7297,6.94869172e-05,6.948691719999999
8.7316,6.86645312e-05,6.866453119999999
8.734,6.17257938e-05,6.172579379999999
8.7364,6.08545293e-05,6.08545293
8.7385,6.5889519e-05,6.5889519
8.7411,6.42290319e-05,6.4229031899999995
8.7436,6.58901967e-05,6.58901967
8.7463,6.5084305e-05,6.5084305
8.7485,6.61875911e-05,6.618759109999999
8.7514,6.4890199e-05,6.4890199
8.7541,6.71994564e-05,6.71994564
8.7569,7.23592553e-05,7.235925529999999
8.7594,7.58252533e-05,7.582525329999998
8.7624,7.13876664e-05,7.138766639999999
8.7654,6.94475108e-05,6.944751079999999
8.7679,6.75028294e-05,6.75028294
8.7711,6.26069309e-05,6.26069309
8.7743,6.19066405e-05,6.19066405
8.7775,6.32114939e-05,6.3211493899999995
8.7803,5.80707991e-05,5.80707991
8.7835,6.51628138e-05,6.51628138
8.7869,6.5035287e-05,6.503528699999999
8.7904,6.40023004e-05,6.400230039999999
8.7933,6.78029589e-05,6.780295889999999
8.7969,6.8298181e-05,6.829818099999999
8.8006,6.75554484e-05,6.75554484
8.8036,6.55800916e-05,6.558009159999999
8.8073,6.74424042e-05,6.74424042
8.8111,6.54803231e-05,6.54803231
8.8149,5.90775361e-05,5.907753609999999
8.8181,6.03834781e-05,6.038347809999999
8.822,6.27057116e-05,6.270571159999999
8.826,6.7217634e-05,6.7217633999999995
8.8295,6.44025917e-05,6.44025917
8.8335,6.61765008e-05,6.61765008
8.8377,6.77439332e-05,6.77439332
8.8412,6.82175322e-05,6.82175322
8.8454,7.60519789e-05,7.605197889999999
8.8497,7.13769369e-05,7.137693689999999
8.854,7.26998761e-05,7.26998761
8.8576,7.15056706e-05,7.150567059999999
8.862,7.29145997e-05,7.291459969999999
8.8665,7.00849744e-05,7.00849744
8.8703,6.86886168e-05,6.868861679999999
8.8748,6.36104777e-05,6.361047769999999
8.8795,6.51088918e-05,6.5108891799999995
8.8841,6.06319806e-05,6.0631980599999995
8.888,6.381874e-05,6.381874
8.8928,6.01916716e-05,6.019167159999999
8.8975,5.89967625e-05,5.89967625
8.9015,6.18041602e-05,6.18041602
8.9063,6.14521543e-05,6.1452154299999995
8.9114,6.01707484e-05,6.017074839999999
8.9156,6.04150405e-05,6.0415040499999995
8.9206,5.84402877e-05,5.8440287699999995
8.9256,6.31947804e-05,6.319478039999999
8.9307,6.08833088e-05,6.08833088
8.935,6.24282122e-05,6.242821219999999
8.9402,5.82585474e-05,5.82585474
8.9453,6.11495208e-05,6.11495208
8.9497,6.10520655e-05,6.105206549999999
8.955,6.23565991e-05,6.235659909999999
8.9603,5.77847475e-05,5.77847475
