#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Maximum temperature: 16 K
#	Minimum temperature: 8 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Set current: 0.001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
7.9216,0.0214303601,21.4303601
7.9223,0.0214284591,21.4284591
7.9229,0.0214285693,21.4285693
7.9234,0.0214277957,21.427795699999997
7.924,0.0214299692,21.4299692
7.9248,0.0214301302,21.4301302
7.9255,0.0214323889,21.4323889
7.9264,0.0214289624,21.4289624
7.9274,0.0214310481,21.431048099999998
7.9282,0.02143069,21.43069
7.9294,0.0214305984,21.4305984
7.9305,0.0214304799,21.4304799
7.9315,0.0214319688,21.4319688
7.9329,0.0214312146,21.4312146
7.9343,0.0214324157,21.4324157
7.9356,0.0214320844,21.432084399999997
7.9371,0.0214336583,21.433658299999998
7.9388,0.0214329209,21.4329209
7.9402,0.0214335316,21.4335316
7.9418,0.0214322436,21.4322436
7.9437,0.0214328531,21.4328531
7.9453,0.0214330854,21.4330854
7.9474,0.0214350988,21.4350988
7.9494,0.0214343762,21.4343762
7.9514,0.0214362703,21.4362703
7.9536,0.0214370873,21.4370873
7.956,0.0214369365,21.436936499999998
7.9586,0.0214368163,21.4368163
7.9608,0.0214385919,21.438591900000002
7.9635,0.0214367497,21.4367497
7.9661,0.0214357142,21.4357142
7.9685,0.0214359835,21.4359835
7.9714,0.0214361001,21.4361001
7.9743,0.0214363629,21.4363629
7.9775,0.0214361037,21.4361037
7.9801,0.021437004,21.437003999999998
7.9834,0.0214372363,21.4372363
7.9867,0.0214405646,21.4405646
7.9896,0.0214368948,21.436894799999997
7.9929,0.0214367468,21.436746799999998
7.9965,0.0214379699,21.4379699
7.9996,0.0214370927,21.4370927
8.0033,0.0214384344,21.438434400000002
8.0073,0.0214405533,21.4405533
8.0106,0.0214417507,21.4417507
8.0146,0.0214391034,21.4391034
8.0187,0.0214406718,21.4406718
8.0222,0.0214409487,21.4409487
8.0266,0.021439978,21.439977999999996
8.031,0.0214402204,21.4402204
8.0348,0.0214405517,21.4405517
8.0394,0.0214413687,21.4413687
8.0441,0.0214403898,21.440389800000002
8.0481,0.0214422996,21.4422996
8.053,0.0214400302,21.440030200000002
8.0579,0.021438162,21.438162
8.0621,0.0214413691,21.4413691
8.0673,0.0214416189,21.4416189
8.0725,0.0214420621,21.442062099999998
8.077,0.0214432178,21.4432178
8.0823,0.021444829,21.444829
8.0879,0.0214466787,21.4466787
8.0925,0.0214482601,21.448260100000002
8.0982,0.0214468971,21.4468971
8.104,0.0214477965,21.447796500000003
8.1088,0.02144483,21.44483
8.1148,0.0214482184,21.4482184
8.1207,0.0214468477,21.4468477
8.1259,0.0214461759,21.4461759
8.132,0.0214464073,21.4464073
8.1383,0.0214473242,21.4473242
8.1436,0.0214486086,21.448608599999996
8.1499,0.0214477156,21.4477156
8.1565,0.0214482597,21.448259699999998
8.162,0.0214503754,21.4503754
8.1687,0.0214495158,21.4495158
8.1754,0.0214495444,21.4495444
8.1811,0.0214503254,21.4503254
8.1881,0.0214505484,21.450548400000002
8.1951,0.0214478289,21.4478289
8.2011,0.0214541057,21.4541057
8.2083,0.0214517795,21.4517795
8.2155,0.0214496846,21.4496846
8.2216,0.0214515315,21.451531499999998
8.229,0.0214577135,21.4577135
8.2365,0.0214580855,21.4580855
8.2427,0.0214560618,21.456061799999997
8.2504,0.0214546212,21.4546212
8.258,0.0214561452,21.456145199999998
8.2645,0.021455565,21.455565
8.2723,0.02145611,21.45611
8.2803,0.021455875,21.455875
8.2882,0.0214540688,21.454068799999998
8.2949,0.0214535238,21.4535238
8.3031,0.0214550183,21.4550183
8.3112,0.021455629,21.455629
8.3182,0.0214554874,21.4554874
8.3265,0.0214563868,21.4563868
8.3349,0.0214550645,21.4550645
8.342,0.021457177,21.457177
8.3506,0.0214577348,21.457734799999997
8.3592,0.0214581466,21.4581466
8.3663,0.0214567179,21.456717899999997
8.375,0.0214586647,21.4586647
8.3837,0.0214589423,21.458942299999997
8.3911,0.0214592773,21.4592773
8.4,0.0214609456,21.4609456
8.4089,0.0214609176,21.4609176
8.4164,0.0214621353,21.4621353
8.4253,0.0214636093,21.463609299999998
8.4345,0.0214636019,21.4636019
8.4421,0.0214646428,21.4646428
8.4513,0.0214640858,21.4640858
8.4606,0.0214647104,21.464710399999998
8.4683,0.0214655809,21.4655809
8.4777,0.0214634712,21.4634712
8.487,0.0214631122,21.463112199999998
8.4948,0.0214658039,21.4658039
8.5042,0.0214653264,21.465326400000002
8.5138,0.0214650646,21.465064599999998
8.5219,0.0214644866,21.464486599999997
8.5315,0.021466799,21.466799
8.5412,0.021466365,21.466365
8.5492,0.0214663807,21.4663807
8.5594,0.0214653971,21.465397099999997
8.5695,0.0214665639,21.466563899999997
8.578,0.0214678233,21.4678233
8.5881,0.0214686396,21.4686396
8.5984,0.0214665401,21.4665401
8.607,0.021470319,21.470319
8.6171,0.0214714756,21.4714756
8.6275,0.0214710685,21.471068499999998
8.6361,0.0214711185,21.4711185
8.6466,0.0214709214,21.470921399999998
8.6569,0.0214717922,21.4717922
8.6656,0.0214711306,21.4711306
8.6759,0.0214712638,21.4712638
8.6864,0.0214733041,21.4733041
8.6953,0.0214709159,21.470915899999998
8.7058,0.0214712601,21.4712601
8.7164,0.0214735775,21.4735775
8.7252,0.0214738504,21.4738504
8.7359,0.0214756011,21.4756011
8.7465,0.0214743362,21.4743362
8.7554,0.0214741114,21.474111399999998
8.7659,0.0214764931,21.4764931
8.7765,0.0214751135,21.4751135
8.7855,0.0214769902,21.4769902
8.7962,0.021478319,21.478319
8.807,0.0214788751,21.4788751
8.8159,0.0214810394,21.481039399999997
8.8267,0.0214784772,21.478477199999997
8.8375,0.0214797865,21.4797865
8.8482,0.0214804416,21.4804416
8.8572,0.0214810683,21.4810683
8.868,0.0214819372,21.481937199999997
8.8789,0.0214819131,21.4819131
8.8878,0.0214843384,21.4843384
8.8987,0.0214869745,21.4869745
8.9096,0.0214886632,21.4886632
8.9186,0.021488214,21.488214
8.9295,0.0214873053,21.4873053
8.9404,0.021489774,21.489774
8.9496,0.0214887442,21.4887442
8.9605,0.0214900248,21.4900248
8.9714,0.0214919337,21.4919337
8.9805,0.021490666,21.490665999999997
8.9916,0.0214931868,21.4931868
9.0025,0.0214917377,21.491737699999998
9.0116,0.021491028,21.491028
9.0226,0.0214936679,21.4936679
9.0335,0.0214929101,21.4929101
9.0428,0.0214919598,21.4919598
9.0537,0.0214928962,21.4928962
9.0647,0.0214940921,21.4940921
9.0739,0.0214920397,21.4920397
9.085,0.0214917714,21.4917714
9.096,0.0214929789,21.4929789
9.1051,0.0214941763,21.4941763
9.1161,0.021494811,21.494811
9.1271,0.0214954268,21.495426799999997
9.1363,0.0214927379,21.492737899999998
9.1472,0.0214936178,21.4936178
9.1583,0.021493739,21.493739
9.1675,0.0214916201,21.4916201
9.1784,0.0214951279,21.4951279
9.1896,0.021492946,21.492946
9.1987,0.0214944299,21.4944299
9.2101,0.0214935722,21.493572200000003
9.2216,0.0214942236,21.4942236
9.231,0.0214968524,21.496852399999998
9.2425,0.0214997513,21.4997513
9.2538,0.0214979544,21.4979544
9.2633,0.0214945002,21.494500199999997
9.2746,0.0214970599,21.4970599
9.2859,0.0214974698,21.497469799999998
9.2953,0.0214962947,21.4962947
9.3067,0.0214964501,21.4964501
9.318,0.0214948623,21.4948623
9.3274,0.0214955591,21.495559099999998
9.3387,0.0214953285,21.4953285
9.3501,0.0214961594,21.4961594
9.3595,0.021495905,21.495905
9.3708,0.0214941913,21.4941913
9.3821,0.0214989066,21.498906599999998
9.3915,0.0214929754,21.4929754
9.4027,0.0214925535,21.4925535
9.414,0.0214923191,21.4923191
9.4252,0.0214923986,21.4923986
9.4346,0.0214944676,21.4944676
9.4459,0.0214936237,21.493623699999997
9.457,0.0214945231,21.4945231
9.4664,0.0214937635,21.4937635
9.4776,0.0214943344,21.4943344
9.4888,0.0214935083,21.4935083
9.4981,0.0214948889,21.4948889
9.5093,0.0214942458,21.494245799999998
9.5204,0.0214941421,21.494142099999998
9.5296,0.0214940774,21.4940774
9.5408,0.0214953469,21.4953469
9.5518,0.0214966591,21.4966591
9.5612,0.0214960845,21.4960845
9.5723,0.0214966896,21.4966896
9.5835,0.0214974891,21.4974891
9.5928,0.0214962362,21.496236200000002
9.6038,0.0214981248,21.4981248
9.6148,0.0214978435,21.4978435
9.6241,0.0214970342,21.4970342
9.6352,0.0214967871,21.496787100000002
9.6462,0.0214978929,21.4978929
9.6555,0.0214973349,21.497334900000002
9.6666,0.0215003033,21.5003033
