#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Current field: 0.15 T
#	Field Step: 0.05 T
#	Max Field: 0.3 T
#	Maximum temperature: 11 K
#	Min Field: -0.3 T
#	Minimum temperature: 8.6 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Sample name: 3168_full_hysteresis
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.6702,5.06234245e-05,0.5062342449999999
8.6679,4.98736981e-05,0.498736981
8.6664,5.89049476e-05,0.5890494759999999
8.6653,5.72622897e-05,0.572622897
8.6641,5.448185e-05,0.5448185
8.6628,5.03961745e-05,0.5039617449999999
8.6617,5.28548814e-05,0.528548814
8.6605,5.2138098e-05,0.52138098
8.6593,5.12006594e-05,0.5120065939999999
8.6583,5.02893679e-05,0.502893679
8.6571,5.13367346e-05,0.513367346
8.656,5.19165376e-05,0.519165376
8.6549,4.91054231e-05,0.49105423099999995
8.6541,5.92081772e-05,0.592081772
8.653,5.71055991e-05,0.5710559909999999
8.652,5.57280465e-05,0.5572804650000001
8.6512,5.63949457e-05,0.563949457
8.6503,5.08519685e-05,0.508519685
8.6494,4.79847345e-05,0.479847345
8.6486,5.26870224e-05,0.5268702239999999
8.6477,6.09100674e-05,0.609100674
8.647,4.92798319e-05,0.49279831899999993
8.6462,5.24781534e-05,0.5247815339999999
8.6455,5.6863236e-05,0.56863236
8.6448,5.40894331e-05,0.540894331
8.6441,6.00374199e-05,0.600374199
8.6436,5.51735093e-05,0.551735093
8.6431,5.58605233e-05,0.558605233
8.6426,5.67868252e-05,0.567868252
8.6421,6.21768354e-05,0.621768354
8.6418,6.71710907e-05,0.6717109069999999
8.6414,6.21985592e-05,0.621985592
8.6411,5.95419227e-05,0.5954192269999999
8.6408,5.93996119e-05,0.5939961189999999
8.6406,5.97959702e-05,0.597959702
8.6404,5.92108252e-05,0.592108252
8.6403,5.73092914e-05,0.573092914
8.6402,7.06532174e-05,0.7065321739999999
8.6402,6.9018202e-05,0.69018202
8.6404,6.28103332e-05,0.6281033319999999
8.6404,6.31270376e-05,0.6312703759999999
8.6407,6.79992049e-05,0.679992049
8.641,6.27322964e-05,0.627322964
8.6413,5.72169725e-05,0.572169725
