#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Current field: -0.3 T
#	Field Step: 0.05 T
#	Max Field: 0.3 T
#	Maximum temperature: 11 K
#	Min Field: -0.3 T
#	Minimum temperature: 8.6 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Sample name: 3168_full_hysteresis
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.7534,6.17999778e-05,0.6179997779999999
8.7562,7.70409379e-05,0.770409379
8.7575,6.62977394e-05,0.662977394
8.759,8.00740157e-05,0.8007401569999999
8.7604,6.29309607e-05,0.629309607
8.7617,6.45092486e-05,0.645092486
8.7627,7.92089847e-05,0.792089847
8.7638,7.83488852e-05,0.783488852
8.7648,9.58205113e-05,0.9582051129999999
8.7657,0.000101308171,1.0130817099999998
8.7665,8.88855064e-05,0.888855064
8.7673,9.5111774e-05,0.9511177399999999
8.7679,0.000111578847,1.11578847
8.7682,0.00010393048,1.0393047999999998
8.7685,8.36374882e-05,0.836374882
8.7686,7.89033217e-05,0.789033217
8.7683,7.97910785e-05,0.7979107849999999
8.7677,8.48121795e-05,0.848121795
8.7664,8.75656056e-05,0.875656056
8.7678,7.92381767e-05,0.792381767
8.771,6.62610655e-05,0.662610655
8.7741,8.06691267e-05,0.8066912669999999
8.7779,7.60879345e-05,0.760879345
8.7814,8.15213807e-05,0.815213807
8.7848,7.64009171e-05,0.764009171
8.7874,8.19409342e-05,0.8194093419999999
8.7904,8.5342607e-05,0.8534260699999999
8.7931,8.34984041e-05,0.8349840409999999
8.7953,8.94238499e-05,0.894238499
8.7979,9.7161617e-05,0.97161617
8.8002,8.67356404e-05,0.8673564039999999
8.802,9.4172192e-05,0.9417219199999999
8.8042,9.15736082e-05,0.915736082
8.8063,8.65773534e-05,0.865773534
8.8083,9.29521594e-05,0.9295215939999999
8.81,8.99338695e-05,0.899338695
8.8121,8.56638508e-05,0.856638508
8.814,7.93154954e-05,0.793154954
8.8157,8.15005474e-05,0.815005474
8.8176,8.39474835e-05,0.8394748349999999
8.8195,8.46584325e-05,0.8465843249999999
8.8213,9.18578355e-05,0.9185783549999998
8.8228,7.90209251e-05,0.790209251
8.8246,7.66996044e-05,0.766996044
8.8263,5.96221428e-05,0.596221428
8.8278,7.77893677e-05,0.777893677
8.8296,7.12820014e-05,0.712820014
8.8313,8.27386591e-05,0.8273865909999999
8.8328,7.39241512e-05,0.7392415119999999
8.8345,7.39560328e-05,0.7395603279999999
8.8363,7.08822243e-05,0.708822243
8.8377,5.65377172e-05,0.565377172
8.8395,7.634748e-05,0.7634748
8.8411,8.12198348e-05,0.8121983479999999
8.8429,7.5607364e-05,0.75607364
8.8444,8.42244502e-05,0.842244502
8.8461,4.19008589e-05,0.419008589
8.8479,5.84169408e-05,0.584169408
8.8495,6.55060371e-05,0.6550603709999999
8.8513,6.97834036e-05,0.6978340359999999
8.8531,7.63840045e-05,0.763840045
8.8551,7.52942969e-05,0.752942969
8.8567,7.56691322e-05,0.7566913219999999
8.8587,8.40096447e-05,0.840096447
8.8607,7.62823253e-05,0.762823253
8.8624,7.83142965e-05,0.783142965
8.8644,7.66870267e-05,0.766870267
8.8664,7.51291522e-05,0.751291522
8.8681,8.04508676e-05,0.804508676
8.8702,8.31504459e-05,0.831504459
8.8724,9.76146418e-05,0.976146418
8.8746,9.67720419e-05,0.967720419
8.8764,9.47011514e-05,0.9470115139999999
8.8787,0.000102987254,1.02987254
8.881,9.78574315e-05,0.978574315
8.883,0.000110414665,1.10414665
8.885,0.000100190321,1.00190321
8.8851,8.1597505e-05,0.8159750499999999
8.8832,8.53761185e-05,0.853761185
8.8811,7.32176582e-05,0.7321765819999999
8.8783,8.60462358e-05,0.860462358
8.8754,8.84766808e-05,0.884766808
8.8731,9.43568772e-05,0.943568772
8.8705,0.000107820975,1.0782097499999999
8.8682,0.000101206295,1.01206295
8.8664,9.42786402e-05,0.9427864019999999
8.8645,0.000101222396,1.01222396
8.8629,0.000100215661,1.00215661
8.8616,0.00010664036,1.0664036
8.8608,9.62238211e-05,0.9622382109999998
8.8598,8.94762833e-05,0.894762833
8.8593,9.81954526e-05,0.981954526
8.8589,8.93522485e-05,0.893522485
8.8588,0.000101632701,1.01632701
8.859,0.000111725291,1.11725291
8.8593,9.50291858e-05,0.950291858
8.8599,8.32643704e-05,0.832643704
8.8608,9.56769758e-05,0.956769758
8.862,8.98869702e-05,0.8988697019999999
8.8635,8.16524666e-05,0.816524666
8.8649,7.31449077e-05,0.7314490770000001
8.8668,8.68190957e-05,0.868190957
8.8689,9.04320751e-05,0.9043207509999999
8.8714,9.40547096e-05,0.9405470959999999
8.8736,0.000101345639,1.01345639
8.8764,0.000102012206,1.02012206
8.8796,8.90018031e-05,0.890018031
8.8824,9.6123466e-05,0.9612346599999999
8.886,9.0898305e-05,0.9089830499999999
8.8898,9.91944574e-05,0.9919445739999999
8.894,0.000102743069,1.0274306899999999
8.8976,9.57510448e-05,0.957510448
8.9021,0.000100178483,1.0017848299999998
8.9068,9.77196801e-05,0.977196801
