#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Current field: 0 T
#	Field Step: 0.05 T
#	Max Field: 0.3 T
#	Maximum temperature: 11 K
#	Min Field: -0.3 T
#	Minimum temperature: 8.6 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Sample name: 3168_full_hysteresis
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.5947,5.41226971e-05,0.541226971
8.5947,4.63323175e-05,0.463323175
8.5948,4.13380667e-05,0.413380667
8.5948,3.72580324e-05,0.372580324
8.595,4.55605312e-05,0.455605312
8.5952,4.79446132e-05,0.47944613199999997
8.5955,4.98291493e-05,0.498291493
8.5958,4.52916997e-05,0.45291699699999993
8.5961,4.25866894e-05,0.425866894
8.5965,4.79121281e-05,0.47912128099999995
8.5968,5.28669381e-05,0.528669381
8.5973,5.06487017e-05,0.506487017
8.5979,4.88421102e-05,0.488421102
8.5984,4.30529315e-05,0.43052931499999997
8.5991,4.65806275e-05,0.46580627499999994
8.5997,5.25949889e-05,0.525949889
8.6006,5.30031139e-05,0.530031139
8.6011,4.88717802e-05,0.4887178019999999
8.6021,5.33327929e-05,0.533327929
8.603,4.95021713e-05,0.495021713
8.6039,4.78105346e-05,0.478105346
8.6049,4.45859655e-05,0.44585965499999997
8.606,4.96324132e-05,0.496324132
8.6072,5.10143079e-05,0.510143079
8.6083,5.27542203e-05,0.527542203
8.6096,4.69268212e-05,0.46926821199999996
8.611,4.45672787e-05,0.44567278699999996
8.6124,5.04522056e-05,0.504522056
8.6138,4.7329616e-05,0.47329615999999997
8.6153,4.67799847e-05,0.467799847
8.6171,4.56155511e-05,0.456155511
8.6185,4.3093181e-05,0.43093180999999997
8.6203,4.10028723e-05,0.410028723
8.6222,4.65759224e-05,0.465759224
8.6242,4.18719234e-05,0.41871923399999994
8.6258,4.69855561e-05,0.469855561
8.628,5.10248684e-05,0.510248684
8.6302,3.97226797e-05,0.397226797
8.6321,3.92119701e-05,0.392119701
8.6345,3.61123111e-05,0.36112311099999994
8.637,3.63711859e-05,0.36371185899999997
8.6396,3.5540956e-05,0.35540955999999996
8.6418,3.84958905e-05,0.384958905
8.6444,3.50040072e-05,0.350040072
8.6472,3.56347005e-05,0.35634700499999994
8.6497,3.67902843e-05,0.3679028429999999
8.6527,3.38427913e-05,0.33842791299999997
8.6558,3.59324971e-05,0.359324971
8.6584,4.11711437e-05,0.411711437
8.6616,4.0587418e-05,0.40587418
8.6649,3.72022155e-05,0.37202215499999997
8.6684,4.16526695e-05,0.416526695
8.6713,4.609196e-05,0.4609196
8.6749,4.43004539e-05,0.44300453900000003
8.6787,4.55977445e-05,0.4559774449999999
8.6818,4.47011365e-05,0.447011365
8.6858,4.53768863e-05,0.45376886299999997
8.6897,5.08978419e-05,0.508978419
8.6931,4.58278581e-05,0.45827858099999996
8.6973,4.63008528e-05,0.463008528
8.7016,4.45985547e-05,0.445985547
8.7059,4.55354925e-05,0.45535492499999997
8.7097,4.22320728e-05,0.422320728
8.7143,4.42068304e-05,0.44206830399999997
8.719,4.37753723e-05,0.437753723
8.723,4.32214163e-05,0.432214163
8.7279,4.21788767e-05,0.42178876699999995
8.7329,3.75343158e-05,0.37534315799999995
8.738,4.51420585e-05,0.451420585
8.7423,4.33667442e-05,0.433667442
8.7475,4.61049433e-05,0.46104943299999995
8.7529,4.34540406e-05,0.434540406
8.7584,4.29869797e-05,0.42986979699999994
8.7629,4.51863097e-05,0.45186309699999994
8.7686,4.14744627e-05,0.414744627
8.7745,4.49309549e-05,0.449309549
8.7803,4.30963025e-05,0.430963025
8.7854,4.08406396e-05,0.40840639599999995
8.7914,3.84679226e-05,0.384679226
8.7977,3.71013373e-05,0.371013373
8.804,3.82110592e-05,0.382110592
8.8093,3.93564846e-05,0.39356484599999997
8.8158,3.64534463e-05,0.364534463
8.8223,3.87902637e-05,0.387902637
8.8279,3.39622586e-05,0.339622586
8.8347,3.85037314e-05,0.38503731399999996
8.8415,3.6226156e-05,0.36226156
8.8485,4.20016591e-05,0.420016591
8.8544,4.22582207e-05,0.42258220699999993
8.8615,4.442416e-05,0.44424159999999996
8.8688,3.38004345e-05,0.338004345
8.8749,4.16716764e-05,0.41671676399999996
8.8823,3.69217162e-05,0.369217162
8.8899,3.83483436e-05,0.383483436
8.8974,3.57622106e-05,0.35762210599999994
8.9039,3.13445435e-05,0.313445435
8.9116,3.79878902e-05,0.37987890199999996
8.9194,3.27017846e-05,0.32701784599999995
8.9261,3.79983603e-05,0.37998360299999995
8.9342,3.78903449e-05,0.37890344899999995
8.9424,4.09431373e-05,0.409431373
8.9507,4.27402759e-05,0.42740275899999997
8.9575,3.98003264e-05,0.398003264
8.9659,3.39694058e-05,0.33969405799999997
8.9743,3.64781988e-05,0.364781988
8.9815,3.71207596e-05,0.37120759600000003
8.9901,3.80272239e-05,0.380272239
8.9988,4.04370531e-05,0.40437053100000003
9.006,4.34842134e-05,0.434842134
9.0149,5.3674268e-05,0.53674268
9.0239,4.60273994e-05,0.460273994
9.0328,4.78377129e-05,0.478377129
9.0404,4.72359848e-05,0.472359848
9.0495,4.97793748e-05,0.497793748
9.0587,5.0453616e-05,0.5045361599999999
9.0665,4.36824399e-05,0.436824399
9.0759,4.51280758e-05,0.45128075799999995
9.0854,4.38947411e-05,0.438947411
9.0932,4.81423393e-05,0.48142339300000003
9.1027,4.96480171e-05,0.49648017099999997
9.1123,4.41355127e-05,0.44135512699999996
9.1204,4.49869634e-05,0.44986963399999996
9.1299,4.6065206e-05,0.46065206
9.1397,4.04119618e-05,0.40411961799999996
9.1496,3.80075663e-05,0.380075663
9.1577,4.16579589e-05,0.41657958900000003
9.1677,4.37680782e-05,0.437680782
9.1777,5.70468137e-05,0.570468137
9.1861,4.50436438e-05,0.450436438
9.1961,4.79521104e-05,0.479521104
9.2065,4.9000994e-05,0.49000994
9.217,5.29872001e-05,0.529872001
9.2258,5.20408093e-05,0.5204080929999999
9.2365,5.20303498e-05,0.520303498
9.2472,5.49016049e-05,0.549016049
9.2561,5.81277818e-05,0.5812778179999999
9.2668,6.07139129e-05,0.607139129
9.2776,6.33461956e-05,0.6334619559999999
9.2884,6.35729874e-05,0.6357298739999999
9.2975,5.84908395e-05,0.5849083949999999
9.3083,6.004992e-05,0.6004991999999999
9.3193,5.72771262e-05,0.572771262
9.3284,5.43895787e-05,0.543895787
9.3394,5.58774671e-05,0.558774671
9.3504,4.97706814e-05,0.497706814
9.3615,5.32534199e-05,0.532534199
9.3707,5.18241786e-05,0.5182417859999999
