#Procedure: <__main__.CryoProcedure>
#Parameters:
#	Constant to convert from field to current: 13.2944 A/T
#	Current field: 0.3 T
#	Field Step: 0.1 T
#	Max Field: 1 T
#	Maximum temperature: 12 K
#	Min Field: -1 T
#	Minimum temperature: 8.6 K
#	Number of power line cycles aka. measurement accurac (0.1/1/10): 5
#	Amperage of heater: 1.414 A
#	Temperature ramp rate: 1 K/min
#	Sample name: 3168
#	Set current: 0.0001 A
#	Time per measurement: 0.1 s
#Data:
Temperature (K),Voltage (V),Resistance (ohm)
8.7009,8.75561595e-05,0.875561595
8.6991,8.26678085e-05,0.826678085
8.6982,8.17596349e-05,0.817596349
8.6973,7.64193128e-05,0.7641931279999999
8.6961,7.72165544e-05,0.772165544
8.6952,8.06023422e-05,0.8060234219999999
8.6944,7.89928829e-05,0.7899288289999999
8.6934,8.17288693e-05,0.817288693
8.6924,7.94503893e-05,0.7945038929999999
8.6916,7.9681003e-05,0.79681003
8.6908,8.42668276e-05,0.8426682759999999
8.6899,8.80900075e-05,0.880900075
8.6891,9.50136881e-05,0.9501368809999999
8.6884,8.3381819e-05,0.83381819
8.6877,7.64735613e-05,0.7647356129999999
8.6868,8.75138601e-05,0.875138601
8.686,8.1771545e-05,0.81771545
8.6854,8.47736486e-05,0.847736486
8.6846,8.90185325e-05,0.8901853249999999
8.684,8.35419028e-05,0.835419028
8.6833,7.9863246e-05,0.7986324599999999
8.6826,8.0167278e-05,0.8016727799999999
8.682,8.27649767e-05,0.8276497669999999
8.6814,7.7210735e-05,0.77210735
8.6809,7.98570104e-05,0.798570104
8.6804,7.74294811e-05,0.774294811
8.6799,8.22916682e-05,0.8229166819999999
8.6795,7.50304029e-05,0.750304029
8.6791,7.6381198e-05,0.76381198
8.6786,7.42959187e-05,0.742959187
8.6782,7.49409935e-05,0.749409935
8.6779,7.72418006e-05,0.772418006
8.6776,7.27933205e-05,0.7279332049999999
8.6774,8.15717239e-05,0.8157172389999999
8.677,7.63447501e-05,0.763447501
8.6769,8.02967615e-05,0.8029676149999999
8.6767,7.49334108e-05,0.7493341079999999
8.6766,8.05658945e-05,0.805658945
8.6766,8.45174031e-05,0.845174031
8.6767,8.2366608e-05,0.82366608
8.6768,8.74895867e-05,0.874895867
8.677,7.70757731e-05,0.7707577309999999
8.6771,7.75008945e-05,0.775008945
8.6773,8.35373763e-05,0.835373763
8.6777,8.63937452e-05,0.8639374519999999
8.678,7.96671327e-05,0.796671327
8.6784,7.48636496e-05,0.748636496
